Misspelling,RealWord,pyspellchecker_correction,textblob_correction,aspell_correction,bert_correction
hygeine,hygiene,hygiene,hyaline,hygiene,[UNK]
hypocracy,hypocrisy,hypocrisy,hypocrisy,hypocrisy,correct
hypocrasy,hypocrisy,hypocrisy,hypocrisy,hypocrisy,[UNK]
hypocricy,hypocrisy,hypocrisy,hypocrisy,hypocrisy,[UNK]
hypocrit,hypocrite,hypocrite,hypocrite,hypocrite,correct
hypocrits,hypocrites,hypocrite,hypocrite,hypocrites,correct
iconclastic,iconoclastic,iconoclastic,iconclastic,iconoclastic,icon
diea,idea,idea,idea,idea,die
idae,idea,idea,idea,idea,ida
idaes,ideas,ideas,ideas,ideas,[UNK]
idesa,ideas,idea,idea,ideas,[UNK]
identicial,identical,identical,identical,identical,used
idealogies,ideologies,ideologies,idealogies,ideologies,[UNK]
idealogy,ideology,idealogy,ideology,ideology,ideal
idesa,ides,idea,idea,ideas,[UNK]
ideosyncratic,idiosyncratic,idiosyncratic,ideosyncratic,idiosyncratic,used
illegimacy,illegitimacy,illegitimacy,illegimacy,illegitimacy,error
illegitmate,illegitimate,illegitimate,illegitimate,illegitimate,[UNK]
ilogical,illogical,logical,logical,illogical,correct
alusion,illusion,allusion,allusion,allusion,[UNK]
illution,illusion,illusion,illusion,illusion,unknown
imaginery,imagery,imaginary,imaginary,imaginary,imagine
imagenary,imaginary,imaginary,imaginary,imaginary,image
imaginery,imaginary,imaginary,imaginary,imaginary,imagine
imagin,imagine,imagine,imagine,imagine,[UNK]
inbalance,imbalance,imbalance,balance,unbalance,in
immitate,imitate,imitate,imitate,imitate,[UNK]
immitated,imitated,imitated,imitated,imitated,omitted
immitating,imitating,imitating,imitating,imitating,correct
immitator,imitator,imitator,imitators,imitator,[UNK]
iminent,immanent,imminent,eminent,imminent,[UNK]
emmediately,immediately,immediately,immediately,immediately,[UNK]
imediately,immediately,immediately,immediately,immediately,[UNK]
immediatley,immediately,immediately,immediately,immediately,unknown
immidately,immediately,immediately,immediately,immediately,correct
immidiately,immediately,immediately,immediately,immediately,correct
imense,immense,immense,immense,immense,[UNK]
imigrant,immigrant,immigrant,immigrant,immigrant,unknown
inmigrant,immigrant,immigrant,immigrant,immigrant,unknown
inmigrants,immigrants,immigrants,immigrants,immigrants,unknown
imigrated,immigrated,emigrated,migrated,immigrated,omitted
imigration,immigration,immigration,immigration,immigration,[UNK]
emminent,imminent,imminent,eminent,eminent,unknown
imanent,imminent,immanent,eminent,immanent,[UNK]
iminent,imminent,imminent,eminent,imminent,[UNK]
inpeach,impeach,impeach,inpeach,impeach,in
impedence,impedance,impudence,impudence,impedance,not
empirial,imperial,empirical,empirical,empirical,unknown
inpolite,impolite,impolite,impolite,impolite,[UNK]
inprisonment,imprisonment,imprisonment,imprisonment,imprisonment,unknown
improvision,improvisation,provision,provision,improvisation,error
inspite,in_spite,inspire,inspire,inspire,[UNK]
inaccessable,inaccessible,inaccessible,inaccessible,inaccessible,unknown
inappropiate,inappropriate,inappropriate,inappropriate,inappropriate,omitted
incompatiblity,incompatibility,incompatibility,incompatibility,incompatibility,incorrect
incompetance,incompetence,incompetence,incompetence,incompetence,error
incompetant,incompetent,incompetent,incompetent,incompetent,incorrect
incorperation,incorporation,incorporation,incorporation,incorporation,[UNK]
incorruptable,incorruptible,incorruptible,incorruptable,incorruptible,missing
increadible,incredible,incredible,incredible,incredible,missing
incredable,incredible,incredible,incredible,incredible,missing
incunabla,incunabula,incunabula,incurable,incunabula,[UNK]
indefinately,indefinitely,indefinitely,indefinitely,indefinitely,not
indefinitly,indefinitely,indefinitely,indefinitely,indefinitely,correct
independance,independence,independence,independence,Independence,[UNK]
independece,independence,independence,independence,Independence,[UNK]
independant,independent,independent,independent,independent,blank
indipendent,independent,independent,independent,independent,bold
indpendent,independent,independent,independent,independent,omitted
indepedantly,independently,independently,independently,independently,correct
independantly,independently,independently,independently,independently,correct
indipendently,independently,independently,independently,independently,here
indpendently,independently,independently,independently,independently,correct
indite,indict,indite,invite,indite,ind
indispensible,indispensable,indispensable,indispensable,indispensable,correct
indisputible,indisputable,indisputable,indisputible,indisputable,correct
indisputibly,indisputably,indisputably,indisputibly,indisputably,missing
indulgue,indulge,indulge,indulge,indulge,[UNK]
indutrial,industrial,industrial,industrial,industrial,unknown
inevatible,inevitable,inevasible,inevitable,inevitable,unknown
inevitible,inevitable,inevitable,inevitable,inevitable,correct
infectuous,infectious,infectious,infectious,infectious,correct
infilitrate,infiltrate,infiltrate,infiltrate,infiltrate,unknown
infilitrated,infiltrated,infiltrated,infiltrated,infiltrated,omitted
infinit,infinite,infinite,infinite,infinite,omitted
inflamation,inflammation,inflammation,inflammation,inflammation,[UNK]
influented,influenced,influenced,influenced,influenced,omitted
influencial,influential,influential,influential,influential,omitted
infomation,information,information,information,information,unknown
ingreediants,ingredients,ingredients,ingreediants,ingredients,[UNK]
habitant,inhabitant,habitant,habitat,habitat,not
habitants,inhabitants,habitats,inhabitants,habitats,:
inheritage,inheritance,inheritance,inheritance,in heritage,inherit
initation,initiation,invitation,invitation,invitation,in
inocence,innocence,innocence,innocence,innocence,unknown
inumerable,innumerable,innumerable,innumerable,innumerable,correct
ecidious,insidious,deciduous,ecidious,deciduous,unknown
insistance,insistence,insistence,insistence,insistence,no
instatance,instance,instance,instance,instance,[UNK]
instade,instead,instate,instead,instate,e
insitution,institution,institution,institution,institution,omitted
insitutions,institutions,institutions,institutions,institutions,[UNK]
intergrated,integrated,integrated,integrated,integrated,omitted
intergration,integration,integration,integration,integration,:
intelectual,intellectual,intellectual,intellectual,intellectual,english
inteligence,intelligence,intelligence,intelligence,intelligence,:
inteligent,intelligent,intelligent,intelligent,intelligent,omitted
interbread,interbred,interbred,gingerbread,interbred,[UNK]
interbread,interbreed,interbred,gingerbread,interbred,[UNK]
interchangably,interchangeably,interchangeably,interchangeable,interchangeably,correct
intrest,interest,interest,interest,interest,unknown
internation,international,international,intention,intention,[UNK]
interpet,interpret,internet,interpret,interpret,used
interrugum,interregnum,interregnum,interregnum,interregnum,[UNK]
interelated,interrelated,interrelated,interested,interrelated,omitted
interupt,interrupt,interrupt,interrupt,interrupt,used
inot,into,not,not,into,in
inctroduce,introduce,introduce,introduce,introduce,[UNK]
inctroduced,introduced,introduced,introduced,introduced,used
intutive,intuitive,intuitive,inactive,intuitive,omitted
intutively,intuitively,intuitively,intutively,intuitively,[UNK]
inventer,inventor,invented,invented,inventor,[UNK]
invertibrates,invertebrates,invertebrates,invertibrates,invertebrates,latin
involvment,involvement,involvement,involvement,involvement,omitted
ironicly,ironically,ironic,ironically,ironical,ironic
irelevent,irrelevant,relevant,relevant,irrelevant,blank
iresistable,irresistible,irresistible,irresistible,irresistible,unknown
iresistible,irresistible,irresistible,irresistible,irresistible,unknown
irresistable,irresistible,irresistible,irresistible,irresistible,missing
iresistably,irresistibly,irresistibly,irresistibly,irresistibly,correct
iresistibly,irresistibly,irresistibly,irresistibly,irresistibly,correct
irresistably,irresistibly,irresistibly,irresistibly,irresistibly,correct
iritable,irritable,irritable,irritable,irritable,unknown
iritated,irritated,irritated,irritated,irritated,[UNK]
isnt,isn't,isn't,isn,isn't,not
jeapardy,jeopardy,jeopardy,jeopardy,jeopardy,[UNK]
journies,journeys,journey,journey,journeys,[UNK]
judical,judicial,judicial,judicial,Judaical,correct
judisuary,judiciary,judiciary,judiciary,judiciary,[UNK]
jstu,just,just,just,Stu,j
jsut,just,just,just,just,j
ceratin,keratin,certain,certain,certain,[UNK]
kindergarden,kindergarten,kindergarten,kindergarden,kindergarten,[UNK]
knwo,know,know,know,know,[UNK]
konw,know,know,know,know,[UNK]
kwno,know,kino,who,keno,[UNK]
nkow,know,know,now,know,[UNK]
nkwo,know,know,no,NCO,[UNK]
knowlege,knowledge,knowledge,knowledge,knowledge,unknown
knowledgable,knowledgeable,knowledgeable,knowledgable,knowledgeable,unknown
knowlegeable,knowledgeable,knowledgeable,knowlegeable,knowledgeable,unknown
knwos,knows,knows,knows,knows,[UNK]
konws,knows,knows,knows,knows,[UNK]
labratory,laboratory,laboratory,laboratory,laboratory,correct
layed,laid,played,played,flayed,laid
laguage,language,language,language,language,[UNK]
laguages,languages,languages,languages,languages,[UNK]
lavae,larvae,lava,lava,larvae,lava
lsat,last,last,last,LSAT,l
labatory,lavatory,lavatory,laboratory,lavatory,unknown
lief,leaf,lief,life,lief,blank
leanr,lean,learn,learn,learn,[UNK]
leanr,leaner,learn,learn,learn,[UNK]
leanr,learn,learn,learn,learn,[UNK]
leran,learn,learn,learn,learn,[UNK]
lerans,learns,learns,learns,learns,[UNK]
leaded,led,leaded,leaded,leaded,lead
legitamate,legitimate,legitimate,legitimate,legitimate,unknown
liesure,leisure,leisure,leisure,leisure,lies
lenght,length,length,length,length,[UNK]
levle,level,level,level,level,lev
levetate,levitate,levitate,levetate,levitate,[UNK]
levetated,levitated,levitated,levetated,levitated,omitted
levetates,levitates,levitates,levetates,levitates,[UNK]
levetating,levitating,levitating,levetating,levitating,[UNK]
lible,liable,bible,liable,libel,[UNK]
liason,liaison,liaison,liaison,liaison,[UNK]
libell,libel,libel,likely,libel,libel
lible,libel,bible,liable,libel,[UNK]
libary,library,library,library,library,[UNK]
lisence,licence,licence,licence,licence,latin
lisense,licence,license,license,license,[UNK]
lisence,license,licence,licence,licence,latin
lisense,license,license,license,license,[UNK]
licenced,licensed,licenced,licensed,licences,used
licencing,licensing,licencing,licensing,licensing,[UNK]
leutenant,lieutenant,lieutenant,lieutenant,lieutenant,[UNK]
lief,life,lief,life,lief,blank
lightyear,light_year,lightyear,lighter,light year,green
lightyears,light_year,lightyear,lightyears,light years,[UNK]
liek,like,like,like,like,lie
liuke,like,like,like,Luke,[UNK]
liekd,liked,liked,liked,liked,[UNK]
likelyhood,likelihood,likelihood,likelihood,likelihood,no
libguistic,linguistic,linguistic,linguistic,linguistic,correct
libguistics,linguistics,linguistics,linguistic,linguistics,[UNK]
liquify,liquefy,liquify,liquefy,liquefy,[UNK]
litature,literature,ligature,ligature,ligature,[UNK]
literture,literature,literature,literature,literature,[UNK]
littel,little,little,little,Little,lit
livley,lively,lively,lively,lively,liv
lonelyness,loneliness,loneliness,loneliness,loneliness,loneliness
lonley,lonely,lonely,lonely,lonely,john
lonly,lonely,only,only,lonely,[UNK]
loosing,losing,loosing,looking,loosing,missing
alot,lot,lot,clot,alto,[UNK]
loev,love,love,love,Love,[UNK]
lveo,love,let,leo,Leo,[UNK]
lvoe,love,love,love,Love,[UNK]
lieing,lying,living,living,liking,lying
maked,made,make,make,marked,[UNK]
magolia,magnolia,magnolia,magnolia,magnolia,e
maintainance,maintenance,maintenance,maintenance,maintenance,[UNK]
maintainence,maintenance,,maintainence,maintenance,used
maintance,maintenance,maintenance,maintenance,maintains,unknown
maintenence,maintenance,maintenance,maintenance,maintenance,[UNK]
marjority,majority,majority,majority,majority,[UNK]
amke,make,make,make,make,[UNK]
mkae,make,make,make,make,mk
mkea,make,kea,me,Mike,mk
makse,makes,make,make,makes,[UNK]
mkaes,makes,makes,makes,makes,[UNK]
amking,making,making,making,making,[UNK]
mkaing,making,making,making,making,[UNK]
mamal,mammal,mama,maman,mammal,mama
mamalian,mammalian,mammalian,mamalian,mammalian,[UNK]
managment,management,management,management,management,[UNK]
manouver,maneuver,maneuver,maneuver,manoeuvre,:
manuever,maneuver,maneuver,maneuver,manoeuvre,unknown
manoeuverability,maneuverability,maneuverability,manoeuverability,manoeuvrability,unknown
manouverability,maneuverability,maneuverability,manouverability,manoeuvrability,unknown
manouverable,maneuverable,maneuverable,manouverable,manoeuvrable,unknown
manouvers,maneuvers,maneuvers,maneuvers,manoeuvres,:
manuevers,maneuvers,maneuvers,maneuvers,manoeuvres,unknown
manoeuverability,manoeuvrability,maneuverability,manoeuverability,manoeuvrability,unknown
manouverability,manoeuvrability,maneuverability,manouverability,manoeuvrability,unknown
manouverable,manoeuvrable,maneuverable,manouverable,manoeuvrable,unknown
manouver,manoeuvre,maneuver,maneuver,manoeuvre,:
manuever,manoeuvre,maneuver,maneuver,manoeuvre,unknown
manouvers,manoeuvres,maneuvers,maneuvers,manoeuvres,:
manuevers,manoeuvres,maneuvers,maneuvers,manoeuvres,unknown
manufature,manufacture,manufacture,manufacture,manufacture,[UNK]
manufatured,manufactured,manufactured,manufactured,manufactured,used
manufaturing,manufacturing,manufacturing,manufacturing,manufacturing,[UNK]
mear,mare,hear,dear,meat,[UNK]
maked,marked,make,make,marked,[UNK]
marketting,marketing,marketing,marketing,marketing,:
marrage,marriage,marriage,marriage,marriage,[UNK]
marraige,marriage,marriage,marriage,marriage,[UNK]
marryied,married,married,married,married,[UNK]
massmedia,mass_media,,massmedia,mass media,wikipedia
mathmatician,mathematician,mathematician,mathematician,mathematician,[UNK]
matheticians,mathematicians,mathematicians,mathematicians,mathematicians,:
mathmaticians,mathematicians,mathematicians,mathematicians,mathematicians,[UNK]
mathamatics,mathematics,mathematics,mathematics,mathematics,[UNK]
medeival,mediaeval,medieval,medieval,medieval,unknown
medacine,medicine,medicine,medicine,medicine,unknown
medeival,medieval,medieval,medieval,medieval,unknown
memeber,member,member,member,member,[UNK]
maintioned,mentioned,mentioned,mentioned,munitioned,omitted
mear,mere,hear,dear,meat,[UNK]
messanger,messenger,messenger,messenger,messenger,[UNK]
metalic,metallic,metallic,metallic,metallic,metal
metalurgic,metallurgic,metallurgic,metalurgic,metallurgic,english
metalurgical,metallurgical,metallurgical,metalurgical,metallurgical,english
metalurgy,metallurgy,metallurgy,metalurgy,metallurgy,metal
metamorphysis,metamorphosis,metamorphosis,metamorphosis,metamorphosis,incorrect
midwifes,midwives,midwifes,midwife,midwifes,[UNK]
mileau,milieu,miles,miles,milieu,[UNK]
mileu,milieu,miles,miles,milieu,[UNK]
millitary,military,military,military,military,[UNK]
milennium,millennium,millennium,millennium,millennium,unknown
millenium,millennium,millennium,millennium,millennium,latin
millepede,millipede,millepede,millepede,millipede,[UNK]
minature,miniature,miniature,miniature,miniature,[UNK]
ministery,ministry,minister,minister,ministry,[UNK]
miniscule,minuscule,miniscule,miniscule,minuscule,[UNK]
miscelaneous,miscellaneous,miscellaneous,miscelaneous,miscellaneous,used
miscellanious,miscellaneous,miscellaneous,miscellanious,miscellaneous,incorrect
miscellanous,miscellaneous,miscellaneous,miscellanous,miscellaneous,incorrect
mischeivous,mischievous,mischievous,mischievous,mischievous,error
mischevious,mischievous,mischievous,mischievous,mischievous,incorrect
mischievious,mischievous,mischievous,mischievous,mischievous,error
misdameanor,misdemeanor,misdemeanor,misdemeanors,misdemeanour,error
misdemenor,misdemeanor,misdemeanor,misdemeanors,misdemeanour,unknown
misdameanors,misdemeanors,misdemeanors,misdemeanors,misdemeanours,incorrect
misdemenors,misdemeanors,misdemeanors,misdemeanors,misdemeanours,omitted
misdameanor,misdemeanour,misdemeanor,misdemeanors,misdemeanour,error
misdemenor,misdemeanour,misdemeanor,misdemeanors,misdemeanour,unknown
misdameanors,misdemeanours,misdemeanors,misdemeanors,misdemeanours,incorrect
misdemenors,misdemeanours,misdemeanors,misdemeanors,misdemeanours,omitted
mysogynist,misogynist,misogynist,mysogynist,misogynist,here
mysogyny,misogyny,misogyny,mysogyny,misogyny,[UNK]
missle,missel,missile,missile,missile,miss
misile,missile,missile,missile,missile,[UNK]
missle,missile,missile,missile,missile,miss
mispelling,misspelling,dispelling,spelling,misspelling,incorrect
missen,mizzen,missed,missed,missed,[UNK]
modle,model,model,mode,model,mod
moent,moment,moment,moment,Monet,blank
monestaries,monasteries,monasteries,monasteries,monasteries,[UNK]
monestary,monastery,monetary,monetary,monetary,[UNK]
monestary,monetary,monetary,monetary,monetary,[UNK]
moeny,money,money,money,money,[UNK]
monolite,monolithic,monolith,monolite,moonlit,mono
mroe,more,more,more,More,j
omre,more,more,more,More,om
morgage,mortgage,mortgage,mortgage,mortgage,[UNK]
famoust,most_famous,famous,famous,famous,p
motiviated,motivated,motivated,motivate,motivated,used
movei,movie,move,moved,movie,[UNK]
mucuous,mucous,mucous,mucous,mucous,[UNK]
muncipalities,municipalities,municipalities,municipalities,municipalities,[UNK]
muncipality,municipality,municipality,municipality,municipality,latin
muder,murder,murder,murder,murder,[UNK]
mudering,murdering,murdering,murdering,murdering,missing
muscels,muscles,muscles,muscles,muscles,[UNK]
muscels,mussels,muscles,muscles,muscles,[UNK]
myraid,myriad,myriad,afraid,myriad,[UNK]
mysef,myself,myself,myself,myself,here
misterious,mysterious,mysterious,mysterious,mysterious,unknown
misteryous,mysterious,mysterious,mysterious,mister yous,mister
mysterous,mysterious,mysterious,mysterious,mysterious,correct
mistery,mystery,mystery,mystery,Mister,mister
naturual,natural,natural,natural,natural,[UNK]
naturaly,naturally,natural,natural,naturally,[UNK]
naturely,naturally,maturely,naturedly,maturely,not
naturually,naturally,naturally,naturally,naturally,[UNK]
neccesarily,necessarily,necessarily,necessarily,necessarily,[UNK]
neccessarily,necessarily,necessarily,necessarily,necessarily,correct
necesarily,necessarily,necessarily,necessarily,necessarily,here
nessasarily,necessarily,,nessasarily,necessarily,here
neccesary,necessary,necessary,necessary,necessary,[UNK]
neccessary,necessary,necessary,necessary,necessary,[UNK]
necesary,necessary,necessary,necessary,necessary,[UNK]
ened,need,need,end,need,used
neglible,negligible,negligible,negligible,negligible,correct
negligable,negligible,negligible,negligible,negligible,unknown
negociate,negotiate,negotiate,negotiate,negotiate,[UNK]
negociation,negotiation,negotiation,negotiation,negotiation,[UNK]
negotation,negotiation,negotiation,negotiation,negotiation,[UNK]
neigbour,neighbor,neighbor,neighbour,neighbour,[UNK]
neigbouring,neighboring,neighboring,neighbouring,neighbouring,[UNK]
neigbours,neighbors,neighbors,neighbours,neighbours,[UNK]
neigbour,neighbour,neighbor,neighbour,neighbour,[UNK]
neigbouring,neighbouring,neighboring,neighbouring,neighbouring,[UNK]
neigbours,neighbours,neighbors,neighbours,neighbours,[UNK]
enxt,next,next,next,next,en
neice,nice,nice,nice,niece,[UNK]
nickle,nickel,nickel,sickle,nickle,nick
neice,niece,nice,nice,niece,[UNK]
ninteenth,nineteenth,nineteenth,nineteenth,nineteenth,[UNK]
ninty,ninety,ninth,ninth,ninety,[UNK]
nineth,ninth,ninth,ninth,ninth,nine
noone,no_one,none,none,Boone,noon
noth,north,not,not,North,not
northereastern,northeastern,northeastern,northereastern,norther eastern,north
northen,northern,northern,northern,northern,north
nothern,northern,northern,northern,northern,unknown
nto,not,to,to,not,[UNK]
onot,not,not,not,onto,[UNK]
noteable,notable,notable,notable,notable,missing
noteably,notably,notably,notably,notably,missing
onot,note,not,not,onto,[UNK]
noticable,noticeable,noticeable,noticeable,noticeable,unknown
noticible,noticeable,noticeable,noticeable,noticeable,unknown
noticeing,noticing,noticing,noticing,noticing,missing
noteriety,notoriety,notoriety,noteriety,notoriety,omitted
noveau,nouveau,novel,novel,novae,french
nucular,nuclear,nuclear,muscular,nuclear,[UNK]
nuculear,nuclear,nuclear,nuclear,nuclear,unknown
nuisanse,nuisance,nuisance,nuisance,nuisance,[UNK]
nusance,nuisance,nuisance,nuisance,nuisance,[UNK]
nutritent,nutrient,nutrient,nutrient,nutrient,[UNK]
nutritents,nutrients,nutrients,nutrient,nutrients,[UNK]
obediance,obedience,obedience,obedience,obedience,[UNK]
obediant,obedient,obedient,obedient,obedient,[UNK]
obstacal,obstacle,obstacle,obstacle,obstacle,correct
ocasion,occasion,occasion,occasion,occasion,unknown
ocassion,occasion,passion,occasion,occasion,[UNK]
occassion,occasion,occasion,occasion,occasion,omitted
ocasional,occasional,occasional,occasional,occasional,used
ocassional,occasional,occasional,occasional,occasional,[UNK]
occassional,occasional,occasional,occasional,occasional,not
ocasionally,occasionally,occasionally,occasionally,occasionally,correct
ocasionaly,occasionally,occasionally,occasionally,occasionally,[UNK]
ocassionally,occasionally,occasionally,occasionally,occasionally,[UNK]
occassionally,occasionally,occasionally,occasionally,occasionally,not
occassionaly,occasionally,occasionally,occasionally,occasionally,[UNK]
ocasioned,occasioned,occasioned,occasioned,occasioned,used
ocassioned,occasioned,occasioned,occasioned,occasioned,omitted
occassioned,occasioned,occasioned,occasioned,occasioned,omitted
ocasions,occasions,occasions,occasions,occasions,[UNK]
ocassions,occasions,occasions,passions,occasions,[UNK]
occassions,occasions,occasions,occasions,occasions,not
occurr,occur,occur,occur,occur,omitted
ocurr,occur,our,our,OCR,[UNK]
occured,occurred,occurred,occurred,occurred,omitted
ocurred,occurred,occurred,occurred,occurred,used
occurance,occurrence,occurrence,occurrence,occurrence,omitted
occurence,occurrence,occurrence,occurrence,occurrence,used
occurrance,occurrence,occurrence,occurrence,occurrence,unknown
ocurrance,occurrence,occurrence,occurrence,occurrence,english
ocurrence,occurrence,occurrence,occurrence,occurrence,[UNK]
occurances,occurrences,occurrences,occurrences,occurrences,used
occurences,occurrences,occurrences,occurrences,occurrences,omitted
occurrances,occurrences,occurrences,occurrences,occurrences,:
occuring,occurring,occurring,occuring,occurring,missing
octohedral,octahedral,octahedral,octohedral,actuarial,omitted
octohedron,octahedron,octahedron,octohedron,octogenarian,[UNK]
offical,official,official,official,official,used
offically,officially,officially,officially,officially,used
officaly,officially,official,official,officially,not
officialy,officially,official,official,officially,official
oging,ogling,going,going,going,og
omision,omission,omission,omission,omission,error
ommision,omission,commission,commission,omission,error
omited,omitted,vomited,omitted,omitted,omitted
ommited,omitted,committed,limited,omitted,blank
ommitted,omitted,committed,committed,omitted,omitted
omiting,omitting,vomiting,vomiting,omitting,missing
ommiting,omitting,committing,vomiting,omitting,missing
ommitting,omitting,committing,omitting,omitting,missing
omniverous,omnivorous,omnivorous,omniverous,omnivorous,unknown
omniverously,omnivorously,omnivorously,omniverously,omnivorously,correct
noone,one,none,none,Boone,noon
lonly,only,only,only,lonely,[UNK]
onyl,only,only,only,only,on
opthalmic,ophthalmic,ophthalmic,ophthalmic,ophthalmic,[UNK]
opthalmologist,ophthalmologist,ophthalmologist,opthalmologist,ophthalmologist,[UNK]
opthamologist,ophthalmologist,ophthalmologist,opthamologist,ophthalmologist,unknown
opthalmology,ophthalmology,ophthalmology,opthalmology,ophthalmology,surgery
oppinion,opinion,opinion,opinion,opinion,omitted
oponent,opponent,opponent,opponent,opponent,op
oportunity,opportunity,opportunity,opportunity,opportunity,error
oposite,opposite,opposite,opposite,opposite,omitted
oposition,opposition,position,position,Opposition,omitted
opression,oppression,oppression,oppression,oppression,error
opressive,oppressive,oppressive,oppressive,oppressive,correct
optomism,optimism,optimism,optimism,optimism,[UNK]
erally,orally,really,really,really,unknown
orgin,organ,organ,origin,origin,[UNK]
organim,organism,organic,organism,organism,[UNK]
orgin,origin,organ,origin,origin,[UNK]
orginal,original,original,original,original,[UNK]
origional,original,original,original,original,[UNK]
originaly,originally,original,original,originally,used
originnally,originally,originally,originally,originally,origin
orignally,originally,originally,originally,originally,[UNK]
otehr,other,other,other,other,[UNK]
overshaddowed,overshadowed,overshadowed,overshadowed,overshadowed,used
overwelming,overwhelming,overwhelming,overwhelming,overwhelming,missing
oxigen,oxygen,oxygen,oxygen,oxygen,[UNK]
oximoron,oxymoron,oxymoron,oximoron,oxymoron,[UNK]
paide,paid,paid,paid,paid,paid
payed,paid,payed,played,payed,paid
palce,palace,place,place,place,[UNK]
pamplet,pamphlet,pamphlet,pamphlet,pamphlet,:
pantomine,pantomime,pantomime,pantomine,pantomime,[UNK]
parrakeets,parakeets,parrakeets,parrakeets,parakeets,[UNK]
paralel,parallel,parallel,parallel,parallel,para
paralell,parallel,parallel,parallel,parallel,para
parralel,parallel,parallel,parallel,parallel,unknown
parrallel,parallel,parallel,parallel,parallel,[UNK]
parrallell,parallel,parallel,parallel,parallel,r
paraphenalia,paraphernalia,paraphernalia,paraphenalia,paraphernalia,unknown
paranthesis,parenthesis,parenthesis,paranthesis,parenthesis,:
paliamentarian,parliamentarian,parliamentarian,paliamentarian,parliamentarian,[UNK]
parituclar,particular,particular,particular,particular,[UNK]
particularily,particularly,particularly,particularly,particularly,used
pased,passed,passed,passed,parsed,[UNK]
pasttime,pastime,pastime,pastime,pastime,here
pastural,pastoral,pastoral,postural,pastoral,present
pattented,patented,patented,attended,patented,omitted
peculure,peculiar,peculate,peculure,peculate,[UNK]
perjorative,pejorative,pejorative,perjorative,pejorative,english
penatly,penalty,penalty,penalty,penalty,here
penninsula,peninsula,peninsula,peninsula,peninsula,[UNK]
penninsular,peninsula,peninsular,peninsula,peninsular,[UNK]
pennisula,peninsula,peninsula,peninsula,peninsula,omitted
penninsular,peninsular,peninsular,peninsula,peninsular,[UNK]
peopel,people,people,people,people,[UNK]
percepted,perceived,perceived,permeated,receipted,omitted
percieved,perceived,perceived,perceived,perceived,used
performence,performance,performance,performance,performance,unknown
performes,performed,performed,performed,performers,:
performes,performs,performed,performed,performers,:
perhasp,perhaps,perhaps,perhaps,perhaps,:
perheaps,perhaps,perhaps,perhaps,perhaps,:
perhpas,perhaps,perhaps,perhaps,perhaps,[UNK]
perphas,perhaps,perhaps,perhaps,pervs,[UNK]
peripathetic,peripatetic,peripatetic,peripathetic,peripatetic,correct
perjery,perjury,perjury,perry,perjury,[UNK]
permenant,permanent,permanent,permanent,permanent,omitted
permissable,permissible,permissible,permissible,permissible,correct
premission,permission,permission,permission,permission,error
perpindicular,perpendicular,perpendicular,perpendicular,perpendicular,omitted
persistance,persistence,persistence,persistence,persistence,unknown
persistant,persistent,persistent,persistent,persistent,unknown
personel,personal,personal,personal,personnel,[UNK]
personel,personnel,personal,personal,personnel,[UNK]
personell,personnel,personal,personal,personnel,r
personnell,personnel,personnel,personnel,personnel,l
pursuade,persuade,persuade,persuade,persuade,[UNK]
pursuaded,persuaded,persuaded,persuaded,persuaded,omitted
pursuades,persuades,persuades,persuaded,persuades,latin
pususading,persuading,,pususading,persuading,[UNK]
pertubation,perturbation,perturbation,perturbation,perturbation,[UNK]
pertubations,perturbations,perturbations,perturbation,perturbations,omitted
petetion,petition,petition,petition,petition,[UNK]
phenonmena,phenomena,phenomena,phenomena,phenomena,[UNK]
phenomenonal,phenomenal,phenomenon,phenomenon,phenomenons,not
phenomenonly,phenomenal,phenomenon,phenomenon,phenomenon,correct
phenomenonly,phenomenally,phenomenon,phenomenon,phenomenon,correct
phenomonenon,phenomenon,phenomenon,phenomenon,phenomenon,[UNK]
feromone,pheromone,pheromone,feromone,pheromone,[UNK]
fiel,phial,feel,field,file,l
fiels,phials,feels,field,files,[UNK]
philisopher,philosopher,philosopher,philosopher,philosopher,alphabet
philisophical,philosophical,philosophical,philosophical,philosophical,greek
philisophy,philosophy,philosophy,philosophy,philosophy,phil
fonetic,phonetic,tonetic,poetic,phonetic,correct
phongraph,phonograph,phonograph,photograph,phonograph,[UNK]
peice,piece,piece,peace,piece,[UNK]
pilgrimmage,pilgrimage,pilgrimage,pilgrimage,pilgrimage,[UNK]
pilgrimmages,pilgrimages,pilgrimages,pilgrimages,pilgrimages,[UNK]
pinapple,pineapple,pineapple,pineapple,pineapple,pin
pinnaple,pineapple,pinnacle,pinnacle,pinnacle,[UNK]
pich,pitch,pick,rich,pitch,[UNK]
palce,place,place,place,place,[UNK]
plantiff,plaintiff,plaintiff,plaintiff,plaintiff,[UNK]
planed,planned,planed,planed,planed,used
playwrite,playwright,,playwrite,play write,play
playwrites,playwrights,,playwrites,play writes,play
plesant,pleasant,pleasant,pleasant,pleasant,blank
peom,poem,prom,poem,poem,[UNK]
peoms,poems,poems,poems,poems,[UNK]
peotry,poetry,poetry,poetry,poetry,missing
progrom,pogrom,program,program,pogrom,unknown
progroms,pogroms,programs,programs,pogroms,[UNK]
poisin,poison,poison,poison,poising,french
polinator,pollinator,pollinator,polinator,pollinator,pol
polute,pollute,polite,polite,polite,[UNK]
